,name,aroma,colour,country_of_origin,family,flavour,ingredients,producers,region,rind,texture,type,vegetarian,synonyms,fat_content,alternative_spellings,calcium_content,fat_content_(in_dry_matter)
445,comox-brie,"mushroom, pungent",ivory,canada,brie,"buttery, creamy",pasteurized cow's milk,natural pastures cheese company,british columbia,bloomy,"buttery, creamy, runny, soft and soft-ripened","soft, soft-ripened",,,26%,,,
446,comox-camembert,"milky, mushroom, pungent",pale yellow,canada,camembert,"buttery, creamy, mushroomy",pasteurized cow's milk,natural pastures cheese company,quebec,bloomy,"buttery, chalky, creamy, soft, soft-ripened and supple","soft, artisan, soft-ripened",,,28%,,,
447,comte,nutty,pale yellow,france,,"fruity, nutty, salty, savory, smokey , sweet",unpasteurized cow's milk,"anthony rowcliffe & son ltd, entremont, fromageries arnaud, president cheese",jura massif,natural,"dense, firm, grainy, open, smooth and supple","semi-hard, artisan",no,,45%,"comté, comte fort saint antoine, comté extra",,
448,comtomme,"buttery, fruity",golden yellow,canada,tomme,"buttery, fruity",unpasteurized cow's milk,fromagerie la station,québec,washed,firm and supple,"semi-soft, artisan",,,28%,,,
449,conciato-al-pepe,aromatic,pale yellow,italy,,"sharp, spicy",pasteurized cow's milk,la casearia carpenedo s.r.l.,veneto,natural,compact and crumbly,hard,no,,,,,
450,condio,pungent,ivory,italy,,"herbaceous, mild, piquant, spicy, sweet",cow's milk,moro latteria di moro sergio,treviso,natural,"creamy, smooth and soft","semi-soft, artisan",no,,,,,
451,connemara,"fruity, goaty, rich",white,united states,,"fruity, mild",cow's milk,looking glass creamery,fairview,natural,creamy and firm,"semi-hard, artisan",,,,,,
452,consider-bardwell-farm-manchester,"lactic, mushroom, woody",ivory,united states,,"nutty, tangy, woody",unpasteurized goat's milk,consider bardwell farm,vermont,natural,firm and open,"semi-hard, artisan",yes,,,,,
453,coolattin-cheddar,,pale yellow,ireland,cheddar,"fruity, nutty, sweet",unpasteurized cow's milk,thomas and fiona burgess - coolattin cheddar,co. carlow,waxed,crumbly and open,"hard, artisan",no,,,,,
454,coolea,,yellow,ireland,gouda,"buttery, full-flavored, mild, sweet",pasteurized cow's milk,coolea farmhouse cheese limited,west cork,waxed,"close, crumbly, crystalline, dense and firm","hard, artisan",no,,45%,,,
455,cooleney,,white,ireland,camembert,"bitter, buttery, mushroomy",pasteurized or unpasteurized cow's milk,cooleeney farm,tipperary,mold ripened,creamy and smooth,"soft, artisan",yes,,45%,cooleeney farmhouse cheese,,
456,coquetdale,rich,pale yellow,england,,fruity,pasteurized cow's milk,northumberland cheese company,coquet,natural,creamy,"semi-hard, soft-ripened",yes,,55%,,,
457,corleggy,,,ireland,,"mild, nutty",pasteurized goat's milk,corleggy cheeses,county cavan,natural,,"hard, artisan",yes,,40%,,,
458,cornish-blue,"buttery, mild, sweet",,england,blue,"creamy, mild, sweet",pasteurized cow's milk,cornish cheese company ltd,cornwall,,buttery and dense,"semi-soft, artisan",yes,,,,,
459,cornish-brie,,yellow,"england, great britain and united kingdom",brie,"creamy, mild",pasteurized cow's milk,cornish country larder ltd.,cornwall,bloomy,creamy and soft-ripened,"soft, artisan, soft-ripened",yes,,,,,
460,cornish-crumbly,rich,ivory,england,cheddar,creamy,pasteurized cow's milk,whalesborough farm foods,north cornwall,mold ripened,chalky,"semi-soft, artisan",yes,,,,,
461,cornish-kern,,,,cornish,,,,cornwall,washed,,,yes,,,,,
462,cornish-pepper,rich,white,england,cornish,smooth,pasteurized cow's milk,lynher valley dairy,,natural,creamy,"soft, artisan",no,,45%,,,
463,cornish-smuggler,rich,ivory,england,cheddar,creamy,pasteurized cow's milk,whalesborough farm foods,north cornwall,mold ripened,creamy,"semi-soft, artisan",yes,,,,,
464,cornish-wild-garlic-yarg,"aromatic, garlicky, herbal",pale yellow,england,cornish,garlicky,pasteurized cow's milk,lynher dairies,cornwall,leaf wrapped,crumbly and firm,"semi-hard, artisan",yes,wild garlic yarg,,,,
465,cornish-yarg,"grassy, mushroom",cream,england,cornish,"lemony, mushroomy",pasteurized cow's milk,lynher dairies,cornwall,leaf wrapped,creamy and crumbly,"semi-hard, artisan",yes,nettled yarg,,,,
466,cote-hill-blue,"smokey, strong",cream,england and united kingdom,blue,"buttery, salty, sharp, smokey , smooth",unpasteurized cow's milk,cote hill farm,lincolnshire,natural,creamy,"soft, artisan, blue-veined",yes,,,,,
467,cotherstone,fresh,white,england and united kingdom,,"acidic, citrusy, tangy",unpasteurized cow's milk,,cotherstone,waxed,crumbly and open,"semi-hard, artisan, blue-veined",yes,yorkshire stilton,45%,,,
468,cotija,,white,mexico,parmesan,"salty, strong",unpasteurized cow's milk,cacique,michoacán and jalisco,rindless,crumbly and dense,"fresh firm, artisan",no,,,,,
469,cotswold,,yellow,"england, great britain and united kingdom",,"buttery, full-flavored, savory, sweet, tangy",pasteurized cow's milk,"ilchester cheese company, long clawson dairy limited",gloucestershire county,natural,"crumbly, dense and firm",semi-hard,no,"double gloucester with chives, double gloucester with onion and chives, double gloucester with onion & chives, english cotswold",,,,
470,cottage-cheese,,white,united kingdom and united states,cottage,sweet,pasteurized or unpasteurized cow's milk,,,rindless,creamy and crumbly,"soft, artisan, processed",,,4.30 g/100g,,68 mg/100g,4%
471,cottage-cheese-australian,"lactic, milky",white,australia,cottage,"mild, sweet",pasteurized or unpasteurized cow's milk,,,rindless,"crumbly, firm and grainy",fresh soft,yes,,,,,
472,cougar-gold,,white,united states,cheddar,"nutty, sharp",cow's milk,wsu creamery,"pullman, washington",rindless,"creamy, crumbly, crystalline, firm and smooth",semi-soft,no,,14%,,,
473,coulommiers,nutty,,france,brie,"buttery, nutty",unpasteurized cow's milk,,,,creamy,"soft, artisan",no,,40%,,,
474,counting-sheepand-goats,nutty,white,canada and italy,,"creamy, subtle, sweet","pasteurized cow's, goat's and sheep's milk",fifth town artisan cheese,lombardy,,creamy and soft,"soft, soft-ripened",,,,,,
475,country-morning,strong,pale yellow,canada,cheddar,"nutty, sharp",pasteurized cow's milk,the farm house natural cheeses,british columbia,natural,creamy and crumbly,"hard, artisan",no,,,,,
476,coupole,"fresh, mild, milky",pale yellow,united states,,"mild, milky",pasteurized goat's milk,vermont creamery,vermont,mold ripened,"buttery, creamy, dense and fluffy","soft, artisan",yes,,,,,
477,couronne-lochoise,"earthy, goaty, grassy, musty",ivory,france,,"acidic, herbaceous, mild, salty",pasteurized goat's milk,"fromages de chèvre freval, various",loire valley,bloomy,"buttery, creamy, smooth and soft-ripened","soft, artisan, soft-ripened",no,la couronne,,,,
478,coverdale,,white,england and united kingdom,,"buttery, lemony, mild, sharp",pasteurized cow's milk,wensleydale creamery,north yorkshire,natural,"creamy, firm and open","hard, artisan",yes,,,,,
479,cows-milk-gouda,,,united states,gouda,"caramel, nutty",unpasteurized cow's milk,fuzzy udder creamery,maine,natural,"compact, creamy, crumbly and dense","semi-hard, artisan",,,,,,
480,cracked-pepper-chevre,"clean, fresh",white,united states,,"savory, spicy",pasteurized goat's milk,haystack mountain goat dairy,colorado,rindless,"creamy, crumbly and firm","semi-soft, artisan",yes,,5 g/100g,,,
481,cranborne,mushroom,pale yellow,"england, great britain and united kingdom",camembert,creamy,unpasteurized cow's milk,chalke valley cheese ltd,dorset,bloomy,buttery and creamy,"soft, artisan, soft-ripened",no,,,,,
482,cratloe-hills,,pale yellow,ireland,,"mild, nutty, strong, sweet",pasteurized sheep's milk,cratloe hills,"brickhill, co. clare",plastic,"firm, grainy and open","hard, artisan",yes,,,,,
483,cravero-parmigiano-reggiano,"aromatic, fruity",golden yellow,italy,parmesan,"bitter, creamy, nutty, savory, smooth, sweet",pasteurized or unpasteurized cow's milk,"g. cravero sas, neal's yard dairy",modena,natural,dense,"hard, artisan",no,"san pietro, baruffi",,,,
484,crayeux-de-roncq,,orange,france,,"full-flavored, strong, sweet",unpasteurized cow's milk,,roncq,washed,creamy and grainy,"soft, artisan, soft-ripened",no,carré du vinage,45%,,,
485,cream-cheese,"fresh, pleasant",white,united states,,"creamy, mild, sweet",pasteurized or unpasteurized cow's milk,kraft foods company,"chester, new york",rindless,creamy and spreadable,"fresh soft, processed",yes,fruit cream,65%,fruit cream cheese,98 mg/100g,
486,cream-cheesy-bliss,rich,white,canada and united states,,"creamy, garlicky, herbaceous, sweet",,go veggie!,,artificial,creamy and spreadable,soft,yes,"dairy free strawberry cream cheese, dairy free chive & garlic cream cheese, dairy free classic plain cream cheese, dairy free cream cheese",,,,
487,cream-havarti,sweet,pale yellow,denmark,havarti,"buttery, creamy, sweet",pasteurized cow's milk,,,rindless,smooth,"semi-soft, processed",yes,"flødeis havarti, smoked havarti, havarathi",11.0 g/100g,flodeis havarti,150 mg/100g,45%
488,creamy-lancashire,rich,pale yellow,england,,"buttery, creamy, smooth",pasteurized or unpasteurized cow's milk,"butlers farmhouse cheeses, dewlay products ltd, leagram organic cheese, singletons’ dairy",lancanshire,natural,"creamy, fluffy and smooth","fresh soft, artisan",no,,75%,,,
489,crema-agria,"aromatic, fresh",white,mexico and caribbean,,"acidic, sour, tangy",pasteurized cow's milk,darigold,,rindless,creamy and spreadable,fresh soft,no,crema centroamericana,,,,
490,crema-de-blue,,cream,united states,blue,"full-flavored, spicy",cow's and sheep's milk,valley shepherd creamery,new jersey,natural,creamy,"semi-soft, artisan, blue-veined",no,,,,,
491,crema-mexicana,rich,white,mexico and caribbean,,"buttery, sour, tangy",pasteurized cow's milk,cacique,,rindless,"creamy, smooth and spreadable",soft,yes,,,,,
492,cremet,"fresh, rich",white,"england, great britain and united kingdom",brie,"creamy, lemony",unpasteurized cow's and goat's milk,sharpham wine & cheese,devon,bloomy,"creamy, smooth, soft and soft-ripened","soft, artisan, soft-ripened",yes,,,,,
493,cremig-extra-wurzig-bergkase-aus-dem-schweizer-jura,,cream,switzerland,swiss cheese,"creamy, spicy",unpasteurized cow's milk,affineur walo of mühlenen,jura,natural,creamy,"hard, artisan",,extra-creamy spicy mountain cheese from the swiss jura,51%,,,
494,cremont,"nutty, yeasty",cream,united states,,"creamy, nutty, smooth, yeasty",pasteurized cow's and goat's milk,vermont creamery,vermont,mold ripened,creamy and smooth,"soft, artisan",,,14%,,,
495,cremonte,pleasant,ivory,germany,blue,"creamy, mild",pasteurized cow's milk,bayerische milchindustrie eg,landshut,mold ripened,creamy and smooth,"soft, blue-veined",,,34%,,,
496,crenoble,aromatic,pale yellow,germany,,"creamy, savory",,bayerische milchindustrie eg,landshut,,"creamy, open and smooth",semi-soft,,,,,,
497,crescenza,"pleasant, rich",white,italy,italian cheese,"creamy, mild, sweet",pasteurized cow's or water buffalo's milk,various,"lombardy, piedmont, and veneto",rindless,"buttery, creamy and spreadable","fresh soft, artisan",yes,stracchino,51%,,,
498,crescenza-di-bufala,"fresh, pleasant, rich, sweet",white,italy,,"buttery, creamy, mild, sweet",pasteurized water buffalo's milk,azienda agricola gritti bruno e alfio s.s. societa agricola,lombardy,rindless,"buttery, creamy and spreadable","fresh soft, artisan",yes,,,,,
499,cressy-blu,,pale yellow,canada and italy,blue,"creamy, savory, sweet",unpasteurized cow's milk,fifth town artisan cheese,lombardy,natural,"creamy, crumbly and firm","semi-hard, blue-veined",,,,,,
500,criffel,"pungent, strong",straw,scotland and united kingdom,,smooth,unpasteurized cow's milk,loch arthur creamery,dumfriesshire,washed,creamy and smooth,"semi-hard, artisan",yes,,,,,
501,crocodile-tear,pungent,white,united states,brie,"creamy, spicy",pasteurized goat's milk,capriole goat cheese,indiana,bloomy,creamy and firm,"soft, semi-soft, artisan, soft-ripened",,,,,,
502,croghan,"earthy, grassy",white,ireland,,full-flavored,unpasteurized goat's milk,croghan goat farm,county wexford,washed,supple,"semi-soft, artisan",yes,,,,,
503,cropwell-bishop-blue-stilton,"pungent, rich, spicy",cream,"england, great britain and united kingdom",blue,"creamy, strong, tangy",pasteurized cow's milk,cropwell bishop creamery limited,nottinghamshire,natural,"creamy, crumbly, firm and smooth","semi-soft, artisan, blue-veined",yes,,33%,,,
504,crotonese,spicy,pale yellow,italy,,"salty, savory, strong",pasteurized sheep's milk,,crotone,natural,compact,"semi-hard, artisan",no,pecorino crotonese,,,,
505,crottin,"fresh, lactic, pleasant",cream,united states,,"nutty, tangy",pasteurized goat's milk,"andante dairy , redwood hill farm & creamery, vermont creamery","california, vermont",natural,creamy,"soft, semi-soft, artisan",,,,,,
506,crottin-de-chavignol,goaty,white,france,,"full-flavored, nutty",unpasteurized goat's milk,various,"loire, chavignol",natural,crumbly and smooth,"hard, artisan, soft-ripened",no,,45%,,0.7 mg/100g,
507,crottin-du-chavignol,goaty,white,france,,"full-flavored, nutty",unpasteurized goat's milk,various,"loire, chavignol",natural,crumbly and smooth,"hard, artisan, soft-ripened",no,,45%,,0.7 mg/100g,
508,crowdie,,white,scotland,cottage,sour,pasteurized cow's milk,highland fine cheeses limited,,natural,creamy and crumbly,fresh soft,yes,,,,,
509,crowley,"aromatic, fresh, mild, pleasant, smokey",pale yellow,united states,cheddar,"buttery, full-flavored, mild, savory, smokey , spicy, sweet, tangy",unpasteurized cow's milk,crowley cheese,vermont,cloth wrapped,"creamy, crumbly, firm and smooth","semi-soft, hard, artisan",no,,,,,
510,crozier,"rich, strong",pale yellow,ireland,blue,"acidic, creamy, mild",pasteurized sheep's milk,cashel blue™ & crozier blue cheeses,"fethard, co tipperary",natural,"buttery, chalky, creamy and crumbly","semi-soft, artisan, blue-veined",yes,,,croizer blue,,
511,crumbly-lancashire,,pale yellow,england,,"acidic, milky, tangy",pasteurized or unpasteurized cow's milk,"butlers farmhouse cheeses, dewlay products ltd, leagram organic cheese, singletons’ dairy",lancashire,natural,crumbly,hard,,"new lancashire, lancashire",31.0 g/100g,,,
512,cuajada,,,spain,,,cow's or sheep's milk,,,,creamy and smooth,soft,no,,,,,
513,cubetto,"fresh, fruity",ivory,italy,,"smooth, sweet",pasteurized buffalo's or cow's milk,casa madaio,campania,,compact and smooth,"semi-soft, artisan",,cubetti,,,,
514,cuor-di-burrata,"fresh, herbal, nutty",white,italy,,"buttery, milky, sweet",,casa madaio,campania,,creamy and smooth,soft,no,,,,,
515,cup-cheese,strong,,united states,,"sharp, sour, strong",unpasteurized cow's milk,,pennsylvania,,creamy and spreadable,"soft, artisan",,,,,,
516,cure-nantais,,straw,france,,"smokey , spicy",cow's milk,various,anjou,,"open, sticky and supple","soft, artisan",no,nantais,40%,,,
517,curworthy,fresh,cream,england,,buttery,pasteurized cow's milk,rachel stephens,devon,natural,creamy,semi-hard,yes,,48%,,,
518,cwmtawe-pecorino,,orange,wales,pecorino,,unpasteurized sheep's milk,,brecen,washed,creamy,hard,yes,,,,,
519,cypress-grove-chevre,,,united states,,,goat's milk,cypress grove chevre,california,,,,,,,,,
520,danablu-danish-blue,,white,denmark,blue,"salty, sharp",cow's milk,rosenborg,,,creamy and crumbly,"semi-soft, blue-veined",no,,25-30%,,,
521,danbo,"stinky, strong",ivory,denmark,,"buttery, mild, nutty",pasteurized cow's milk,mammen mejeri,vejle,washed,"firm, open and springy","semi-soft, smear-ripened",no,"gamle ole, king christian",15-45%,,,
522,danby,rich,white,united states,italian cheese,sharp,unpasteurized goat's milk,consider bardwell farm,vermont,natural,"dense, firm and smooth","hard, artisan",yes,,,,,
523,danish-feta,mild,white,denmark and germany,feta,mild,cow's milk,"arla foods, gaganis bros",,rindless,"creamy, crumbly and smooth","semi-hard, brined",,danish white,20%,,,
524,danish-fontina,,,denmark,,,,grøndal dairy,,,,semi-soft,no,,,,,
525,dante,"buttery, nutty, rich",brownish yellow,united states,,"buttery, nutty",pasteurized sheep's milk,wisconsin sheep dairy cooperative,wisconsin,natural,dry and firm,"soft, artisan",,,,,,
526,daphnes-aged-goat-cheese,goaty,,united states,,"piquant, sharp, tart",unpasteurized goat's milk,daphne's creamery,wisconsin,mold ripened,dense and smooth,"semi-soft, artisan",no,,,,,
527,daphnes-alpine-classic,,yellow,united states,,nutty,unpasteurized cow's milk,daphne's creamery,wisconsin,natural,smooth,"semi-soft, artisan",no,,,,,
528,daphnes-goat-gouda,goaty,,united states,gouda,"mild, piquant",pasteurized goat's milk,daphne's creamery,wisconsin,natural,creamy and firm,"semi firm, artisan",,,,,,
529,daralagjazsky,,,russia,,,goat's or sheep's milk,,,,,soft,no,,,,,
530,dark-snow-canyon-edam,"grassy, rich",golden yellow,united states,,"buttery, creamy, mild, milky, sharp, tangy",unpasteurized cow's milk,rockhill creamery,utah,natural,"creamy, crumbly and grainy","semi-hard, hard, artisan",no,,,,,
531,dauphin,yeasty,golden orange,france,,spicy,pasteurized cow's milk,,nord-pas de calais,washed,firm,"semi-soft, artisan",no,,30%,,,
532,davidstow-3-year-reserve-special-vintage,rich,yellow,"england, great britain and united kingdom",cheddar,"creamy, smooth",pasteurized cow's milk,dairy crest,cornwall,natural,"crumbly, firm, flaky and grainy",hard,yes,,,,,
533,davidstow-extra-mature-cheddar,rich,pale yellow,"england, great britain and united kingdom",cheddar,"pronounced, sweet",pasteurized cow's milk,dairy crest,cornwall,natural,"crystalline, flaky, grainy and smooth",hard,yes,,,,,
534,davidstow-mature-cheddar,rich,pale yellow,"england, great britain and united kingdom",cheddar,"full-flavored, nutty",pasteurized cow's milk,dairy crest,cornwall,natural,"creamy, crumbly and smooth",hard,yes,,,,,
535,dehesa-de-los-llanos-curado,"lactic, milky",ivory,spain,,strong,unpasteurized sheep's milk,dehesa de los llanos s.l.,albacete,natural,"crumbly, firm and flaky","hard, artisan",,manchego curado,,,,
536,dehesa-de-los-llanos-gran-reserva,strong,straw,spain,,piquant,unpasteurized sheep's milk,dehesa de los llanos s.l.,albacete,natural,"crumbly, firm and flaky","hard, artisan",,manchego gran reserva,,,,
537,dehesa-de-los-llanos-media-curacion,fresh,ivory,spain,,nutty,unpasteurized sheep's milk,dehesa de los llanos s.l.,albacete,natural,creamy and crumbly,"semi-hard, artisan",,"semi-cured manchego, semi curado manchego",,,,
538,delamere-goats-cheese-logs,goaty,white,england and united kingdom,feta,smooth,pasteurized goat's milk,,cheshire,natural,crumbly and smooth,soft,,"delamere goats log with honey, delamere plain goats log",22-28 g/100g,,,
539,delamere-medium-hard-goats-cheese,goaty,white,england and united kingdom,feta,"full-flavored, smooth",pasteurized goat's milk,delamere dairy ltd,cheshire,natural,crumbly and smooth,semi firm,,,34.5 g/100g,,,
540,delice-de-bourgogne,"mushroom, pungent, strong",cream,france,brie,"buttery, mushroomy, smooth, tangy",pasteurized cow's milk,fromagerie lincet,burgundy,bloomy,creamy and smooth,"soft, soft-ripened",no,,75%,delice cheese,,
541,delice-des-fiouves,rich,white,france,,"mild, smooth",cow's milk,,doubs,washed,smooth and supple,"soft, artisan",no,,,,,
542,denhany-dorset-drum,,,england,,nutty,cow's milk,,,natural,chewy and dense,hard,yes,,50%,,,
543,derby,mild,ivory,england and united kingdom,cheddar,"buttery, mild, sweet",pasteurized cow's milk,fowlers forest dairies ltd.,derbyshire,waxed,"creamy, firm, open and smooth","semi-hard, artisan",yes,,,,,
544,desert-red-feta,strong,white,united states,feta,"full-flavored, salty, tart",unpasteurized cow's milk,rockhill creamery,utah,natural,"creamy, crumbly and grainy","firm, brined",,,,,,
545,dessertnyj-belyj,,,russia,,,cow's milk,,,,,soft,no,,40%,,,
546,detroit-street-brick,"earthy, spicy",ivory,united states,,"lemony, savory, spicy, tangy",pasteurized goat's milk,zingerman's creamery,"ann arbor, michigan",bloomy,crumbly and soft,"soft, artisan",no,,,,,
547,devils-gulch,"rich, spicy",pale yellow,united states,,"spicy, sweet",pasteurized cow's milk,cowgirl creamery,california,bloomy,creamy and soft,"semi-soft, artisan",yes,,,,,
548,devon-blue,earthy,pale yellow,england and united kingdom,blue,"buttery, smooth, spicy",unpasteurized cow's milk,ticklemore cheese,devon,natural,"crumbly, dense and firm","semi-hard, artisan, blue-veined",yes,,48%,,,
549,devon-garland,"aromatic, fresh, herbal",,"england, great britain and united kingdom",,"herbaceous, savory",unpasteurized cow's milk,,"exeter, devon",natural,firm and smooth,semi-hard,yes,,,,,
550,dill-garlic-chevre,aromatic,white,united states,,"garlicky, herbaceous, spicy, strong",pasteurized goat's milk,haystack mountain goat dairy,colorado,rindless,"creamy, crumbly and firm","semi-soft, artisan",yes,,,,,
551,dilly-girl,"mild, sweet",pale yellow,united states,cheddar,"full-flavored, garlicky, herbaceous, sharp",unpasteurized cow's milk,muranda cheese company,ny,natural,creamy and crumbly,"semi-hard, artisan",,,,,,
552,dinarski-iz-mosta,"aromatic, subtle, sweet",pale yellow,croatia,,"grassy, pronounced, pungent",pasteurized cow's and goat's milk,sirana gligora d.o.o,dinaric,natural,"grainy, soft and supple","hard, artisan",yes,,,,,
553,dinarski-sir,,golden yellow,croatia,,"full-flavored, grassy",pasteurized cow's and goat's milk,sirana gligora d.o.o,dinaric,natural,"compact, crumbly, dense and firm","hard, artisan",yes,,,,,
554,dinarski-sir-iz-maslinove-komine,,golden yellow,croatia,,"earthy, full-flavored, grassy, milky, pronounced",pasteurized cow's and goat's milk,sirana gligora d.o.o,dinaric,natural,"compact, creamy, dense, firm and flaky","hard, artisan",yes,,,,,
555,dirt-lover,earthy,cream,united states,brie,"buttery, citrusy, nutty, savory, tangy",sheep's milk,green dirt farm,missouri,ash coated,"creamy, dense and firm","semi-soft, soft-ripened",no,,,,,
556,divino,"fruity, rich, sweet",ivory,italy,,"savory, smooth, sweet",pasteurized cow's milk,moro latteria di moro sergio,"treviso, veneto",natural,compact and dense,"semi-hard, artisan",,,,,,
557,dolcelatte,,,italy,blue,"mild, sweet",cow's milk,galbani,,,,"soft, blue-veined",no,,50%,,,
558,dolomitico,pungent,pale yellow,italy,blue,"pronounced, strong",pasteurized cow's milk,la casearia carpenedo s.r.l.,veneto,natural,"crumbly, dense and firm","semi-hard, blue-veined",no,,,dolomitico alla birra,,
559,don-bernardo-manchego,"grassy, herbal, rich",pale yellow,spain,,"herbaceous, nutty, strong, subtle",pasteurized sheep's milk,president cheese,castilla-la mancha,natural,"dry, firm and open","semi-hard, artisan",,,,,,
560,don-carlo,"pleasant, spicy",pale yellow,italy,,"pronounced, spicy, strong",unpasteurized cow's milk,la casearia carpenedo s.r.l.,veneto,natural,crumbly and flaky,"hard, artisan",no,,,,,
561,don-olivo,,straw,italy and switzerland,,"pronounced, rustic, strong, tangy",unpasteurized cow's milk,la casearia carpenedo s.r.l.,veneto,natural,crumbly,semi-soft,,,,,,
562,doolin,,,holland,,,cow's milk,,,,,hard,no,,,,,
563,doppelrhamstufel,lactic,,germany,,salty,cow's milk,,,,,soft,no,,,,,
564,dorblu,"buttery, fresh",cream,germany,blue,"creamy, spicy",pasteurized cow's milk,käserei champignon,allgäu,,smooth,"soft, blue-veined",yes,dorblu à la crème,,,,
565,dore-mi,aromatic,white,canada,cottage,"salty, savory, spicy",,la maison alexis de portneuf inc.,quebec,rindless,"chewy, firm and springy",semi-soft,,,22%,"doré-mi with jalapeño, doré-mi with mediterranean spices, doré-mi with indian spices",,
566,dorset,"grassy, nutty, pungent, rich, strong",yellow,united states,italian cheese,"buttery, savory, sharp, smooth",unpasteurized cow's milk,consider bardwell farm,vermont,washed,buttery,"semi-soft, soft-ripened",yes,,,,,
567,dorset-blue-vinney,strong,blue,great britain,blue,"savory, strong",unpasteurized cow's milk,,dorset,,crumbly,"hard, artisan, blue-veined",no,,40-46%,,,
568,dorset-white,strong,yellow,"england, great britain and united kingdom",,"creamy, tangy",unpasteurized cow's milk,chalke valley cheese ltd,dorset,mold ripened,creamy and firm,"soft, artisan, soft-ripened",no,,,,,
569,dorstone,aromatic,white,"england, great britain and united kingdom",,"citrusy, full-flavored, lemony, salty, sweet, tangy",unpasteurized goat's milk,neal's yard dairy,"neal’s yard creamery, near dorstone, herefordshire",mold ripened,creamy and fluffy,"soft, artisan",no,,,,,
570,double-gloucester,sweet,golden yellow,england and united kingdom,,"creamy, mellow, milky, nutty",pasteurized or unpasteurized cow's milk,taw valley creamery,gloucestershire,natural,"crumbly, dense, firm, flaky and smooth","hard, artisan",yes,,54.23 g/100g,taw valley double gloucester,,
571,double-worcester,,yellow,"england, great britain and united kingdom",,"citrusy, nutty, sharp, tangy",pasteurized cow's milk,anstey's of worcester,worcester,natural,firm and flaky,"hard, artisan",yes,,,,,
572,doublet,"rich, sweet",ivory,england,,"creamy, mild",unpasteurized cow's and sheep's milk,wootton organic dairy,somerset,mold ripened,creamy and smooth,"soft, artisan",yes,,48%,,,
573,dreux-a-la-feuille,mushroom,pale yellow,france,,"fruity, full-flavored, woody",pasteurized or unpasteurized cow's milk,,eure-et-loir,bloomy,creamy and supple,"soft, soft-ripened",no,,40%,feuille de dreux,,
574,driftless,"fresh, grassy, lactic, rich, sweet",white,united states,,"creamy, fruity, garlicky, herbaceous, salty, subtle, sweet, tangy, woody",pasteurized sheep's milk,hidden springs company,wisconsin,rindless,"creamy, dense and spreadable","fresh soft, artisan",yes,,,"driftless original, driftless basil & olive oil, driftless cranberry and cinnamon, driftless tomato and garlic, driftless pumpkin, driftless maple, driftless honey & lavender",,
575,driftwood,mild,cream,australia,,creamy,goat's milk,boatshed cheese,"mornington peninsula, melbourne",ash coated,smooth,"semi-soft, artisan",yes,,,,,
576,drommen,,golden yellow,sweden,,"acidic, mellow",unpasteurized cow's milk,oviken cheese,oviken,natural,,"hard, artisan",,,17%,,,
577,dry-jack,"aromatic, earthy",pale yellow,united states,monterey jack,"mild, nutty",pasteurized cow's milk,,"monterey, california",natural,"brittle, crumbly and firm",hard,yes,,,dry monterey jack,,
578,dubliner,,yellow,ireland,cheddar,"nutty, sharp, sweet",pasteurized cow's milk,kerrygold,county cork,natural,"close, crystalline, firm and smooth",hard,yes,,,"reduced fat dubliner, red dubliner, white dubliner, vintage dubliner",,
579,duck-isles-stone,earthy,pale yellow,italy,,buttery,unpasteurized cow's milk,fifth town artisan cheese,lombardy,natural,compact and dense,"semi-hard, artisan",,,,,,
580,duddleswell,sweet,pale yellow,england and united kingdom,,"acidic, buttery",pasteurized sheep's milk,high weald dairy,west sussex,natural,crumbly,"hard, artisan",yes,,35%,,,
581,duet,"fresh, mild",pale yellow,australia,brie,acidic,pasteurized cow's and goat's milk,woodside cheese wrights,south australia,bloomy,"creamy, soft and soft-ripened","soft, artisan, soft-ripened",yes,,45%,,,
582,dumpling,lactic,ivory,england,,mild,unpasteurized sheep's milk,wootton organic dairy,somerset,mold ripened,smooth,"soft, artisan",yes,,,,,
583,dunbarra,,white,ireland,,,cow's milk,,,,creamy,semi-soft,no,,,,,
584,dunbarton-blue,earthy,straw,united states,cheddar,"creamy, sharp, strong",pasteurized cow's milk,roelli cheese co. inc.,wisconsin,natural,crumbly and firm,"hard, artisan",no,,,,,
585,dunlop,pleasant,yellow,scotland and united kingdom,cheddar,"buttery, mild, nutty, sharp, sweet",pasteurized cow's milk,dunlop dairy,ayrshire,natural,"close, crumbly, firm and smooth",hard,yes,,,smoked dunlop,,
586,dunsyre-blue,strong,cream,scotland and united kingdom,blue,"salty, sharp, spicy",unpasteurized cow's milk,h.j. errington & co,"carnwath, lanarkshire",mold ripened,"creamy, crumbly and smooth","soft, artisan, blue-veined",yes,,,,,
587,dura,,pale yellow,sweden,,"mild, mineral, nutty, salty",unpasteurized sheep's milk,oviken cheese,oviken,natural,,"hard, artisan",,,30%,,,
588,duroblando,smokey,white,mexico and caribbean and united states,,"salty, smokey , strong",pasteurized cow's milk,nuestro queso,,rindless,crumbly and firm,hard,no,,,duro blando,,
589,durrus,"grassy, lactic",cream,ireland,,"acidic, buttery, full-flavored",unpasteurized cow's milk,durrus farmhouse cheese,west cork,washed,creamy and open,"semi-soft, artisan",no,,45%,,,
590,dutch-mimolette-commissiekaas,fruity,orange,holland,,fruity,pasteurized cow's milk,,nord,natural,"brittle, creamy and firm","hard, artisan",no,,,,,
